jour;heure_debut;heure_fin;salle_id;cours_id;groupe_id
Lundi;08:00;12:00;AUD-L1;TC-L2-ALGO;PROMO-L2
Lundi;08:00;12:00;AUD-L3;TC-L1-ALGO;PROMO-L1
Lundi;08:00;12:00;AUD-L4;TC-L3-ALGO;PROMO-L3
Lundi;08:00;12:00;SAL-MACH;OPT-CRS-L3-RES;OPTION-OPT-L3-RES
Lundi;08:00;12:00;SAL-MM;OPT-CRS-L3-SEC;OPTION-OPT-L3-SEC
Lundi;13:00;17:00;AUD-L4;TC-L4-ALGO;PROMO-L4
Lundi;13:00;17:00;SAL-MACH;OPT-CRS-L4-DS;OPTION-OPT-L4-DS
Lundi;13:00;17:00;SAL-MM;OPT-CRS-L4-ROB;OPTION-OPT-L4-ROB
Mardi;08:00;12:00;AUD-L1;TC-L2-BD;PROMO-L2
Mardi;08:00;12:00;AUD-L3;TC-L1-BD;PROMO-L1
Mardi;08:00;12:00;AUD-L4;TC-L3-BD;PROMO-L3
Mardi;13:00;17:00;AUD-L4;TC-L4-BD;PROMO-L4
Mercredi;08:00;12:00;AUD-L1;TC-L2-CLOG;PROMO-L2
Mercredi;08:00;12:00;AUD-L3;TC-L1-CLOG;PROMO-L1
Mercredi;08:00;12:00;AUD-L4;TC-L3-CLOG;PROMO-L3
Mercredi;13:00;17:00;AUD-L4;TC-L4-CLOG;PROMO-L4
